ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Average,LogStandardDeviation,Cutoff
1,0,.22258982,.0000000,1,1,-14936.204,-.64823342E-03,-.42401257E-03,.69328718
1,0,.22528916,.13805886,1,1,-14935.920,-.12685253E-02,.50752021E-06,.69324143
1,0,.22796982,.0000000,1,1,-14935.712,-.10491704E-02,-.17879505E-03,.69320852
1,0,.23063199,.0000000,1,1,-14935.489,-.11838729E-02,-.31999071E-04,.69317212
1,0,.23335804,.0000000,1,3,-14935.390,-.13064917E-02,.11929012E-03,.69315544
1,0,.23420551,.0000000,1,1,-14936.119,-.13644202E-02,-.83596820E-04,.69327448
1,0,.23584563,.0000000,1,1,-14936.450,-.23762082E-02,.42657549E-03,.69332545
1,0,.23842723,.0000000,1,1,-14936.089,-.25265930E-02,.63501177E-03,.69326491
1,0,.23857316,.0000000,1,2,-14937.720,-.25444679E-02,.10295143E-03,.69353382
1,0,.24054877,.32133226,1,2,-14937.979,-.31567128E-02,.46165561E-03,.69357205
1,0,.24233246,.0000000,1,2,-14938.331,-.30889153E-02,.24803601E-03,.69363149
1,0,.24483301,.0000000,1,1,-14938.190,-.28578827E-02,.88537486E-04,.69361037
1,0,.24731711,.0000000,1,1,-14937.936,-.31292618E-02,.33695067E-03,.69356680
1,0,.24945167,.0000000,1,1,-14938.043,-.32276272E-02,.39331219E-03,.69358343
1,0,.25190444,.0000000,1,1,-14936.845,-.32924019E-02,.83053637E-03,.69338435
1,0,.25515237,.0000000,1,2,-14936.436,-.40984265E-02,.15256458E-02,.69330557
1,0,.25756288,.0000000,1,1,-14936.142,-.47460024E-02,.20312292E-02,.69324571
1,0,.25995784,.0000000,1,1,-14935.798,-.38566847E-02,.16482021E-02,.69320102
1,0,.26233739,.0000000,1,1,-14935.483,-.34491446E-02,.16143256E-02,.69315179
1,0,.26412684,.24680107,1,2,-14935.680,-.37413702E-02,.16532917E-02,.69318215
1,0,.26436173,.0000000,1,1,-14936.765,-.44734150E-02,.16708999E-02,.69335473
1,0,.26585311,.0000000,1,2,-14935.644,-.32540731E-02,.12568001E-02,.69318420
1,0,.26816903,.0000000,1,1,-14935.551,-.34651052E-02,.14994590E-02,.69316484
1,0,.26792896,.0000000,1,6,-14934.856,-.37773659E-02,.19180569E-02,.69304416
1,0,.26926499,.15002864,1,2,-14934.886,-.36465216E-02,.17346560E-02,.69305298
1,0,.27109915,.0000000,1,2,-14935.847,-.35835483E-02,.12393597E-02,.69321692
1,0,.27332141,.0000000,1,1,-14935.047,-.33444386E-02,.15383924E-02,.69308317
1,0,.27427652,.0000000,1,5,-14934.827,-.34787258E-02,.17536867E-02,.69304348
1,0,.27619867,.0000000,1,1,-14934.914,-.22514866E-02,.92683099E-03,.69307186
1,0,.27674124,.94171750E-01,1,2,-14935.222,-.20725832E-02,.74023152E-03,.69312367
1,0,.27747210,.0000000,1,5,-14935.797,-.25438411E-02,.74488361E-03,.69321661
1,0,.27903387,.0000000,1,1,-14936.006,-.20711579E-02,.38967682E-03,.69325385
1,0,.28113581,.0000000,1,1,-14935.342,-.28151744E-02,.11334275E-02,.69313776
1,0,.28231622,.0000000,1,1,-14935.717,-.25359091E-02,.68151104E-03,.69320448
1,0,.28140612,.10808980,1,6,-14935.154,-.28229002E-02,.94259823E-03,.69311054
1,0,.28177451,.0000000,1,5,-14935.518,-.36723127E-02,.12350202E-02,.69316388
1,0,.28414545,.0000000,1,4,-14935.159,-.34245581E-02,.11937574E-02,.69310703
1,0,.28539161,.17002674,1,2,-14935.859,-.22281160E-02,.28111408E-03,.69323175
1,0,.28729055,.0000000,1,2,-14935.517,-.24703390E-02,.56862347E-03,.69317376
1,0,.28879401,.0000000,1,1,-14935.698,-.24051135E-02,.48147479E-03,.69320385
1,0,.29074252,.0000000,1,1,-14935.373,.33601821E-03,-.93692432E-03,.69314946
1,0,.29268038,.0000000,1,1,-14935.152,-.32396810E-04,-.64100481E-03,.69311569
1,0,.29455467,.0000000,1,1,-14935.171,-.29082703E-03,-.62950879E-03,.69312045
1,0,.29566819,.0000000,1,2,-14934.708,-.12863370E-02,-.27943057E-04,.69304711
1,0,.29757179,.0000000,1,1,-14934.501,-.23745954E-02,.60757485E-03,.69300982
1,0,.29580718,.15697672,1,8,-14934.430,-.90315822E-03,-.91743612E-04,.69300155
1,0,.29751942,.0000000,1,1,-14934.487,-.75518329E-03,-.25610600E-03,.69301118
1,0,.29839406,.0000000,1,1,-14934.949,.17641392E-03,-.81639141E-03,.69308251
1,0,.30005079,.0000000,1,1,-14935.022,-.16454696E-05,-.79628391E-03,.69309539
1,0,.30024205,.0000000,1,1,-14936.008,-.44440142E-03,-.10131853E-02,.69325728
1,0,.30161980,.19215545,1,2,-14934.894,-.19512828E-02,.28032648E-03,.69307606
1,0,.29975443,.0000000,1,10,-14934.484,-.79062189E-03,-.49670614E-03,.69301240
1,0,.30041912,.82826876E-01,1,3,-14934.665,.97436793E-03,-.16363625E-02,.69303114
1,0,.30019485,.0000000,1,3,-14934.960,.11977954E-02,-.13195847E-02,.69307651
1,0,.30037404,.0000000,1,1,-14935.949,.18099882E-02,-.20463598E-02,.69322659
1,0,.30174315,.0000000,1,2,-14935.270,.40000073E-03,-.96648971E-03,.69313259
1,0,.30220633,.0000000,1,2,-14936.855,.54569158E-04,-.12108506E-02,.69338986
1,0,.30341353,.0000000,1,1,-14937.088,.23336547E-02,-.23289126E-02,.69340076
1,0,.30461694,.28126777,1,2,-14936.437,.30559558E-02,-.24854527E-02,.69328583
1,0,.30631715,.0000000,1,1,-14936.225,.21560984E-02,-.18154315E-02,.69326768
1,0,.30725726,.0000000,1,3,-14936.308,.38072965E-02,-.28417590E-02,.69325077
1,0,.30893460,.0000000,1,1,-14935.333,.32772143E-02,-.23758607E-02,.69310731
1,0,.30999952,.0000000,1,1,-14935.621,.19264324E-02,-.17817230E-02,.69317372
1,0,.30831684,.11004832,1,6,-14934.572,.20835650E-02,-.15036104E-02,.69300525
1,0,.30880260,.0000000,1,2,-14934.769,.34865918E-02,-.23831221E-02,.69301432
1,0,.31033786,.0000000,1,1,-14934.812,.46411202E-02,-.29347231E-02,.69299767
1,0,.31036568,.0000000,1,1,-14935.944,.38956992E-02,-.26089242E-02,.69319382
1,0,.31133634,.0000000,1,1,-14936.269,.24510613E-02,-.22794387E-02,.69326864
1,0,.31295292,.0000000,1,1,-14935.782,.16099976E-02,-.21344595E-02,.69320184
1,0,.31376615,.0000000,1,3,-14936.019,-.15594240E-02,-.80443143E-03,.69326464
1,0,.31445272,.0000000,1,1,-14936.515,-.10927767E-02,-.12928609E-02,.69334395
1,0,.31459654,.14779479,1,7,-14935.069,-.79665135E-03,-.70045993E-03,.69310739
1,0,.31492670,.0000000,1,5,-14934.726,-.36282028E-02,.13291006E-02,.69303481
1,0,.31574384,.0000000,1,1,-14935.117,-.42191020E-02,.15450802E-02,.69309234
1,0,.31657196,.11229272,1,2,-14934.579,-.42203792E-03,-.77193370E-04,.69302301
1,0,.31474360,.0000000,1,9,-14934.575,.75621140E-03,-.70301055E-03,.69301795
1,0,.31493549,.92440088E-01,1,2,-14934.908,.48977383E-02,-.31088991E-02,.69300643
1,0,.31431512,.0000000,1,3,-14936.160,.61182545E-02,-.39787465E-02,.69316868
1,0,.31502052,.0000000,1,2,-14936.376,.41481195E-02,-.29546109E-02,.69325493
1,0,.31650316,.0000000,1,1,-14935.817,.58033768E-02,-.38066632E-02,.69312362
1,0,.31568684,.14554061,1,6,-14936.090,.70489940E-02,-.45469236E-02,.69312565
1,0,.31592095,.0000000,1,1,-14936.945,.71248045E-02,-.51336343E-02,.69324578
1,0,.31737644,.0000000,1,1,-14936.641,.50927634E-02,-.42570468E-02,.69326087
1,0,.31805404,.0000000,1,1,-14937.093,.14031945E-02,-.25118546E-02,.69341225
1,0,.31949884,.0000000,1,1,-14937.003,.55157245E-04,-.18521962E-02,.69341412
1,0,.32114701,.0000000,1,3,-14936.275,-.17333863E-02,-.52293941E-03,.69330462
1,0,.32222680,.0000000,1,1,-14936.455,-.66409134E-02,.20416288E-02,.69328583
