ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.10012243,.0000000,14,11,-2.2438343,1.1479485,2.1136267,-1.1603418
1,0,.10037259,.0000000,14,11,-2.3274414,.81004885,2.0860360,-.79774570
1,0,.10065062,.0000000,14,2,-3.3008838,.53168864,2.2710012,-.82615001
1,0,.99860526E-01,.18369324E-01,14,8,-4.9395907,.40051544,2.1948436,-.62513857
1,0,.10088264,.0000000,14,5,-4.0106729,1.3742637,1.8538472,-.38755071
1,0,.10203443,.0000000,14,2,-3.3312453,1.4001959,1.9013668,-.59175014
1,0,.10242969,.0000000,14,16,-3.2046664,1.1370116,2.1263725,-.58384975
1,0,.10365588,.10724423E-01,14,1,-2.9145627,1.3117126,1.9515246,-.64729995
1,0,.10433993,.0000000,14,5,-2.6177513,.63256549,2.2845617,-1.0578359
1,0,.10513146,.0000000,14,7,-1.8440762,.75326958,2.1619357,-1.1129509
1,0,.10537831,.0000000,14,1,-3.0852777,.80748346,2.1186631,-.55796131
1,0,.10477083,.10669999E-01,14,17,-2.0736077,.77588718,2.2558956,-1.2029995
1,0,.10487856,.0000000,14,1,-3.7504486,.47874576,2.2731762,-.86328169
1,0,.10512917,.0000000,14,2,-4.8731632,1.0170266,1.9061989,-.19884160
1,0,.10316825,.39588001E-02,14,29,-3.3659024,1.0994412,2.1045521,-.49165490
1,0,.10211739,.0000000,14,20,-4.0263762,1.1448617,2.2393464,-.79385527
1,0,.10154922,.0000000,14,20,-2.1025373,1.0370479,1.9751778,-.77445431
1,0,.99853111E-01,.29149558E-01,14,28,-1.5150069,.80955129,2.1889962,-1.1707836
1,0,.98841244E-01,.0000000,14,15,-2.3303825,1.1212769,2.0815027,-.74673733
1,0,.99253425E-01,.0000000,14,6,-2.5272503,1.1425324,1.9442630,-.66135864
1,0,.10017748,.0000000,14,4,-1.4806973,1.0099328,2.1452356,-1.1048058
1,0,.99749666E-01,.19065867E-01,14,18,-3.0399915,1.4398272,1.7834466,-.74375216
1,0,.10033829,.0000000,14,1,-3.4972139,1.3551313,1.7786188,-.54294023
1,0,.10041146,.0000000,14,3,-4.5024539,1.2704719,2.1448578,-1.0655867
1,0,.10056857,.0000000,14,1,-5.9155775,1.4623607,2.1583075,-.31226261
1,0,.10084733,.75025348E-02,14,8,-4.9801601,1.7727912,1.7180864,-.56100455
1,0,.10171888,.0000000,14,2,-4.9650451,1.1875686,1.6498071,-.47372600
1,0,.10214811,.0000000,14,9,-1.5746546,1.1609922,1.8972457,-1.1122629
1,0,.10303426,.0000000,14,1,-1.6512418,1.1990727,2.0200974,-1.0415967
1,0,.10284114,.0000000,14,3,-3.7026891,1.3573284,1.6820222,-.71654338
1,0,.10350491,.73256030E-02,14,5,-3.8435951,.75678659,2.2822118,-.42124675
1,0,.10321107,.0000000,14,13,-4.0165789,.73444294,2.4330880,-.76237873
1,0,.10351883,.0000000,14,4,-4.9281223,.80335812,2.1332865,-.16666936
1,0,.10424288,.0000000,14,3,-3.9000893,.59106928,2.4173800,-.56350498
1,0,.10419924,.0000000,14,1,-6.6744649,.13149314,2.6233023,-.17701918E-01
1,0,.10483789,.23591464E-01,14,3,-6.7779344,.38730071E-01,2.5235553,-.37368663E-01
1,0,.10572776,.0000000,14,3,-5.6053561,.36211338,2.2921180,-.18140321
1,0,.10666595,.0000000,14,8,-5.5532889,.54716210,2.2733853,-.94835910E-01
1,0,.10723788,.0000000,14,8,-5.7339110,1.3368955,1.5690631,-.21224697
1,0,.10774306,.0000000,14,1,-6.2392166,1.4273156,1.5603724,-.43429773E-01
1,0,.10836652,.29648563E-01,14,4,-4.7686496,1.3390439,1.9481003,-.22320465
1,0,.10892262,.0000000,14,6,-4.3072949,.39248573,2.4304209,-.85336613
1,0,.10961888,.0000000,14,2,-4.4018353,.75801197,2.4543337,-.68965461
1,0,.11033215,.54086539E-02,14,5,-4.6321392,.56880291,2.1721540,-.32920707
1,0,.11099997,.0000000,14,3,-2.3656262,.84203161,2.0907549,-.73652643
1,0,.11177618,.0000000,14,2,-2.3193797,.69799121,2.2721425,-.93572469
1,0,.11159108,.0000000,14,3,-4.2950894,.82809727,1.8883526,-.64078436
1,0,.11237978,.39090013E-02,14,2,-2.3425446,1.0885252,1.9111729,-.76494317
1,0,.11259264,.0000000,14,9,-2.7442121,1.1160372,2.1598620,-.79776297
1,0,.11295349,.0000000,14,1,-3.4775638,.93919125,1.9793138,-.48200685
1,0,.11349028,.37455676E-02,14,2,-3.7337772,.49094259,2.3251971,-.62474701
1,0,.11354709,.0000000,14,2,-4.9887183,1.0467201,2.3647073,-.57364561
1,0,.11386020,.0000000,14,6,-3.7648758,1.3543978,2.0540598,-1.0016883
1,0,.11460926,.0000000,14,2,-3.5033322,1.2592519,2.0088591,-.48848519
1,0,.11491603,.31229768E-02,14,1,-4.3445242,.91040334,2.2321543,-.29964437
1,0,.11302596,.0000000,14,31,-.98766630,.98961058,2.0544307,-1.1359398
1,0,.11270582,.0000000,14,7,-2.9044992,.96797356,1.8916546,-.90991173
1,0,.11269013,.0000000,14,2,-4.4721178,1.0417165,1.9105442,-1.6181661
1,0,.11292498,.0000000,14,6,-5.3201613,.70409829,1.9626234,-1.0125587
1,0,.11374710,.0000000,14,1,-2.4409939,.70207866,2.2873300,-1.1582783
1,0,.11456771,.15229093E-01,14,1,-2.4127620,1.0625978,1.8753667,-1.1176229
1,0,.11528015,.0000000,14,2,-1.7935047,1.2753724,1.8739191,-1.1014219
1,0,.11478758,.0000000,14,25,-.92041388,1.0343655,2.0203866,-1.2133116
1,0,.11443515,.0000000,14,6,-2.7143195,1.2327524,1.9321671,-.63663671
1,0,.11497531,.10924922E-01,14,8,-2.1221036,1.2955130,1.8295229,-1.0628945
1,0,.11525422,.0000000,14,6,-2.1435967,1.3420173,1.8518897,-1.1013069
1,0,.11491325,.0000000,14,11,-2.4122844,.98508312,2.1164578,-1.6540942
1,0,.11545185,.69398035E-02,14,2,-2.6589666,1.3231594,1.7728474,-.98269891
1,0,.11622709,.0000000,14,1,-1.4724858,1.2301712,1.9206064,-1.2075971
1,0,.11632841,.0000000,14,4,-2.0163021,.92836264,2.0077182,-.86188640
1,0,.11640214,.0000000,14,9,-2.5565148,.76608157,2.1334934,-.72752925
1,0,.11651456,.0000000,14,6,-2.7501279,.87743538,2.2909173,-1.0645739
1,0,.11707978,.66853080E-02,14,11,-2.0232322,1.0661892,2.1425871,-1.2843318
1,0,.11714978,.0000000,14,10,-1.4336288,.92851767,2.0599945,-1.4496998
1,0,.11759047,.0000000,14,7,-1.3294160,.91920728,2.1267873,-1.4443497
1,0,.11739070,.94585445E-02,14,12,-1.9167687,.80939746,2.1275725,-.89261922
1,0,.11820887,.0000000,14,2,-1.2439339,1.0823717,2.0654293,-1.0687037
1,0,.11812790,.0000000,14,11,-1.8385528,1.0388963,2.1380476,-.92532013
1,0,.11827385,.0000000,14,3,-2.4822507,1.1995490,1.8913948,-.70938009
1,0,.11914970,.0000000,14,5,-2.3589655,.78447969,2.0967301,-.81699897
1,0,.11947963,.0000000,14,1,-3.0084282,.94926278,1.9281751,-1.2636933
1,0,.11764278,.66361067E-02,14,31,-1.0569773,.99211360,2.0662094,-1.4395272
1,0,.11787323,.0000000,14,1,-1.9568285,.81201719,2.0772139,-1.1897963
1,0,.11825831,.0000000,14,5,-1.0652345,.93757069,2.0593263,-1.2230656
1,0,.11817991,.10072441E-01,14,3,-2.4401550,.78174652,2.2642942,-.80132909
1,0,.11802112,.0000000,14,12,-1.6356417,.78706625,2.1903354,-1.0793308
1,0,.11856491,.0000000,14,3,-2.2959522,.90480455,2.0258859,-.76626235
1,0,.11869943,.64935771E-02,14,7,-2.1615146,.79172191,2.2047034,-.81720803
1,0,.11915979,.0000000,14,6,-2.3816437,1.2706658,1.9935100,-.81283765
1,0,.11920543,.0000000,14,2,-4.8563789,1.4884963,2.0487723,-.56582794
1,0,.12000388,.0000000,14,2,-3.8024214,1.3325218,1.7876948,-.45227651
1,0,.12003890,.27728592E-02,14,2,-5.0563455,1.1850500,1.6878674,-.30739283
1,0,.11995201,.0000000,14,2,-7.6233313,1.1830271,1.4528026,.70691854E-01
1,0,.12062950,.0000000,14,1,-6.8050924,1.5361775,1.5020167,.66013665E-01
1,0,.12139812,.0000000,14,2,-3.0744800,.96941241,1.9740252,-.56442197
1,0,.12143412,.25492726E-02,14,11,-3.9132293,.96417560,2.1027882,-.34713267
1,0,.12184367,.0000000,14,8,-3.1621002,1.1251827,2.0831422,-.53632145
1,0,.12231038,.0000000,14,6,-2.8019923,.86638239,2.2574028,-.69322914
1,0,.12254315,.59125277E-02,14,6,-2.5304653,1.0267516,2.1355643,-.68249324
1,0,.12295573,.0000000,14,4,-3.5280376,.83282561,2.3007909,-1.3275053
1,0,.12257930,.0000000,14,13,-2.1961021,1.2958270,1.9843580,-1.1096768
1,0,.12249325,.0000000,14,9,-2.6719760,1.0043242,2.1293357,-.62966359
1,0,.12313895,.0000000,14,1,-2.1072069,1.0409635,1.9791670,-.76684972
1,0,.12289780,.76038317E-02,14,14,-1.8986467,.88258841,2.2310283,-1.0681964
1,0,.12176204,.0000000,14,25,-1.6920227,1.1665325,2.0537477,-1.0285778
1,0,.12163641,.0000000,14,7,-5.3566263,.91078809,1.7595321,-.44964179
1,0,.12188309,.0000000,14,7,-4.2653926,.98797772,2.3446104,-.73615716
1,0,.12203003,.10110055E-01,14,12,-2.3751677,1.1740145,2.0041280,-.70744107
1,0,.12264615,.0000000,14,1,-2.0116634,1.1032839,1.9708108,-1.5959810
1,0,.12247721,.0000000,14,4,-3.4580495,1.4260664,1.6950001,-.93192365
1,0,.12300485,.0000000,14,2,-1.9372397,1.0163842,1.9439697,-.92381970
1,0,.12308152,.49222891E-02,14,10,-1.8721121,.81451957,2.1884367,-.89672730
1,0,.12379434,.0000000,14,8,-2.0960241,1.1314536,1.9090722,-.81958052
1,0,.12370037,.0000000,14,6,-2.6390330,1.1590837,1.8183869,-.89382403
1,0,.12383333,.0000000,14,7,-1.5163696,1.0236786,1.9594949,-1.0709066
1,0,.12341428,.63059294E-02,14,18,-2.1721349,1.0717307,1.8924888,-.92193796
1,0,.12375549,.0000000,14,4,-1.1346857,1.1370629,1.9586737,-1.2873275
1,0,.12409707,.0000000,14,4,-.86102367,1.0326188,2.0408394,-1.2669253
1,0,.12415613,.0000000,14,9,-3.1330151,1.0171885,1.9040735,-1.3752599
1,0,.12439071,.77655974E-02,14,6,-2.1875788,.70607298,2.1806375,-.98180458
1,0,.12480848,.0000000,14,13,-1.8888434,.81026315,2.1702173,-.88438173
1,0,.12488624,.0000000,14,8,-1.3432907,1.0185155,2.0746469,-.97043410
1,0,.12504197,.0000000,14,5,-2.9125746,.87106742,1.9525583,-.93258821
1,0,.12560286,.83297591E-02,14,18,-1.0028977,.93020389,2.1110861,-1.2163071
1,0,.12544445,.0000000,14,7,-1.7947035,.90260401,2.2050514,-1.2919628
1,0,.12584626,.0000000,14,5,-1.0706117,1.0980498,2.0351892,-1.1373174
1,0,.12613823,.55751528E-02,14,2,-1.7224965,.98040086,1.9664364,-1.2210187
1,0,.12631241,.0000000,14,5,-3.2674209,.75380999,2.0703269,-1.2939005
1,0,.12657667,.0000000,14,6,-2.7939313,.73340954,2.1688735,-.66868840
1,0,.12700653,.0000000,14,3,-2.7027338,1.3487573,1.9284854,-.74912069
1,0,.12724864,.0000000,14,1,-3.3788945,1.4956125,1.7153174,-.91571061
1,0,.12780129,.0000000,14,1,-3.3801166,1.4257774,1.7276722,-1.0942206
1,0,.12794013,.42990652E-02,14,13,-1.2070580,1.1585945,1.9495323,-1.2883922
1,0,.12827324,.0000000,14,3,-1.3233689,1.0855135,2.0329072,-1.4951989
1,0,.12839012,.0000000,14,8,-1.5347663,.88488599,2.1632898,-.97542787
1,0,.12799844,.49292157E-02,14,22,-1.5729679,1.0463541,2.0589865,-.89311670
1,0,.12822857,.0000000,14,6,-1.7469551,1.0031784,2.0922305,-1.5860914
1,0,.12741618,.0000000,14,28,-1.2084465,1.1520961,1.9507438,-1.1379846
1,0,.12625500,.12078482E-01,14,22,-2.2815294,.97403274,1.9665293,-1.4058505
1,0,.12653819,.0000000,14,3,-2.4878279,1.0886701,2.1203356,-.72588629
1,0,.12597875,.0000000,14,17,-1.6268328,.93385171,2.1916985,-1.1021822
1,0,.12615488,.67790911E-02,14,7,-1.3429700,.98488592,2.1418491,-1.0985072
1,0,.12630667,.0000000,14,6,-1.3552487,.87053358,2.1684740,-1.0954678
1,0,.12651949,.0000000,14,4,-1.9313065,1.1628478,2.0834886,-1.0535559
1,0,.12650991,.0000000,14,1,-4.1378040,1.0138331,2.2756866,-1.1592090
1,0,.12701835,.0000000,14,1,-3.6107566,.78397145,2.1498985,-.43957420
1,0,.12692093,.0000000,14,5,-5.2525022,.42407819,2.1390254,-.64886445
1,0,.12713049,.50676787E-02,14,6,-3.1161723,.58042913,2.3464320,-.80347398
1,0,.12713896,.0000000,14,1,-5.0697044,.79006528,2.4659932,-.85754058
1,0,.12799305,.0000000,14,3,-3.9954086,1.3433591,2.0853114,-.60494467
1,0,.12736514,.17761094E-02,14,23,-2.0192726,.73610148,2.2365052,-.98616912
1,0,.12772721,.0000000,14,2,-2.4238921,.76288944,2.1113532,-.81018492
1,0,.12781618,.0000000,14,4,-2.8723811,1.0682974,1.8457129,-.82332335
1,0,.12781503,.0000000,14,1,-4.9454698,1.4558973,2.0237290,-.32711012
1,0,.12782762,.38034406E-02,14,5,-6.0321318,1.0973530,2.3679532,-.80878646
1,0,.12807228,.0000000,14,5,-4.0799624,1.0947472,2.2508635,-1.0192423
