SampleLogFunc,intercept,slope,logSigma
-2.3062449,1.0949416,1.9012740,-.79234699
-3.2493378,1.1380618,2.0975129,-1.5232937
-4.7854980,1.5151167,1.6306914,-.34517101
-4.7400217,.76001960,1.9216678,-.44171949
-4.1349789,.73176776,2.4424599,-.76364747
-2.3180039,.73968701,2.2234629,-.81234985
-3.9630919,1.1697763,1.9606831,-1.7793899
-1.9579851,1.2538602,1.9926356,-1.2425145
-3.6884383,.68148504,2.3213700,-.49213127
-2.0101373,.73878885,2.1642906,-1.1905547
-1.5815693,.82059859,2.1624964,-1.3403969
-3.0292411,.57908726,2.3306412,-.99760056
-1.7356625,.90304946,2.0954508,-1.5333931
-3.5444953,.78252310,2.0574363,-1.3931044
-6.2181218,.27410042,2.5340935,-.97307073
-1.3305303,.99847132,2.1381293,-1.2652892
-1.6642297,.79987380,2.1389974,-1.0312379
-6.7841806,1.7286328,1.4848438,.56575759E-01
-1.0031706,1.1017905,2.0297361,-1.2087393
-1.0031706,1.1017905,2.0297361,-1.2087393
-1.5253547,.85267606,2.1194332,-1.3882536
-2.9529338,.66351312,2.3567020,-.92460491
-2.4929180,.94808421,2.0383411,-.66554426
-2.7670966,1.4289445,1.8705077,-.88174830
-2.0115281,.92730732,2.0906186,-1.6141056
-2.4022417,.91825043,2.0892446,-1.6580569
-1.8061658,1.1140235,2.0600822,-.87157385
-2.2240048,1.3417771,1.9116373,-1.1668765
-3.6030353,1.0170479,2.2670885,-.62934505
-3.8808289,.88692373,2.2073956,-.37979097
-3.0123528,.90094548,2.2262826,-.60044241
-2.9126460,1.0492442,2.0098311,-.55403525
-1.0726791,1.0908025,2.0340991,-1.1167659
-5.3837705,.57795163,2.5385672,-.89946568
-4.4490791,1.5826477,1.6583117,-.44128400
-2.8568345,1.3715754,1.7926019,-.74413614
-1.3441323,1.1769138,1.9718713,-1.0545301
-1.3441323,1.1769138,1.9718713,-1.0545301
-2.2709709,.94429778,2.2350267,-1.0732162
-1.0795594,1.1119367,2.0275921,-1.3373118
-2.1922518,1.1442442,2.0641696,-1.4654071
-.93865028,1.0197887,2.0478988,-1.3867012
-1.9748482,.73688664,2.1703595,-1.1677925
-1.7231661,.95760350,1.9881928,-.99495546
-1.8070564,1.2752826,1.9390524,-1.2423643
-1.3766756,.88002507,2.1669545,-1.0693552
-2.1308483,.69905183,2.2238487,-1.0216818
-1.6372488,1.0040552,2.0773434,-1.5865640
-1.6372488,1.0040552,2.0773434,-1.5865640
-3.4480177,.99412718,2.2551096,-.60644026
-1.9489239,.94981201,2.1781257,-.87263219
-4.5961277,.72068070,2.2173921,-.24567770
-3.5572538,.52013366,2.4010373,-.86633307
-2.8319966,.85836253,2.0430334,-1.4769364
-8.5924145,1.9947156,1.6114217,.41225744
-2.2232404,1.1176681,1.9345084,-.75124434
-1.4949923,1.0920112,2.0925476,-1.0580399
-1.5081997,.89458835,2.1836008,-1.0484241
-4.0675261,.41053335,2.3863829,-.82989354
-.92666774,1.0631533,2.0278558,-1.3548605
-3.1024916,1.4834469,1.7608946,-.88342161
-2.8791144,1.0325358,1.8831544,-1.2463706
-1.0552474,1.0094853,2.0805891,-1.1023935
-1.1442992,1.0131895,2.1147025,-1.2340054
-1.3220048,.89140330,2.0676695,-1.2575570
-1.0185992,1.0838756,2.0205880,-1.1292100
-2.7475243,.96718463,2.0673079,-1.7335516
-2.4402878,.67483242,2.1801324,-.96676891
-2.1348105,.84521439,2.0276926,-1.0496858
-.94870333,1.0175326,2.0803224,-1.3290529
-1.5288755,1.2054310,1.9945715,-1.0570778
-4.5345923,1.6926827,1.7308942,-.54143052
-1.3876029,.92628731,2.1249602,-.98368778
-1.3876029,.92628731,2.1249602,-.98368778
-6.0605635,1.9154940,1.6028895,-.69899032
-1.2605099,1.0196588,2.1028329,-1.4079057
-1.1068886,1.1338961,2.0187130,-1.2639249
-3.6737293,1.5109533,1.8407611,-1.0933283
-1.2520011,.96086065,2.1457287,-1.2841635
-1.6689026,1.2077214,1.9132261,-1.3677786
-1.6689026,1.2077214,1.9132261,-1.3677786
-3.2824239,1.4016401,1.8784600,-.59583286
-1.4858687,1.0671667,1.9523088,-1.3697311
-4.0075173,1.4562765,1.7617650,-.44236292
-3.2713289,1.4587913,1.7249891,-.99208026
-2.5187794,.64585403,2.2395990,-.91529726
-.87214392,1.0237566,2.0397259,-1.2399510
-4.4671194,1.1508789,1.7510120,-1.1395578
-1.9978856,1.2571635,1.8419820,-1.1050051
-2.1612924,1.2843242,1.8776974,-.85277628
-2.0149943,1.1861612,1.8517020,-1.0608905
-1.1370068,1.0547828,2.0276638,-1.0486645
-1.9738255,1.1651406,1.9859155,-1.5535219
-2.6303025,.74304639,2.2071780,-.70096307
-4.6049087,.59827927,2.4639443,-.40056795
-2.2063234,.82442398,2.2636791,-.93595156
-2.0050904,.99791186,2.0530023,-.76614103
-3.6098118,1.3296681,1.8562520,-.46496446
-4.0726847,.85804182,2.3853964,-.62283321
-1.7511333,1.0024668,2.0921399,-.84430858
-6.5711205,1.4976433,1.5898386,-1.1780797
-1.0739932,.90643640,2.1236809,-1.2019231
-1.0739932,.90643640,2.1236809,-1.2019231
-1.0739932,.90643640,2.1236809,-1.2019231
-1.0891736,1.1140457,1.9684246,-1.3072535
-2.2798654,.87597611,2.0925722,-.73075074
-1.0649329,1.0525178,2.0340476,-1.4429974
-1.0649329,1.0525178,2.0340476,-1.4429974
-2.8931010,1.4605142,1.7951657,-.94317088
-1.0945769,1.0314300,1.9957174,-1.1562841
-3.8187920,1.1585138,1.7415051,-.67765978
-1.4740470,.85699927,2.1867566,-1.2828598
-.98854556,.93749491,2.0881051,-1.3147989
-3.0343992,1.3343627,1.7425457,-.82361962
-3.8841469,.47101820,2.4177467,-.66419152
-5.1331710,1.2934090,1.9814494,-.14260612
-1.6436132,1.2237324,1.9827128,-1.3009833
-2.8338013,.72604367,2.2835367,-.69785270
-2.2958293,.91115259,2.2063404,-.78299828
-1.0270654,.96736519,2.1122593,-1.1751193
-4.0684960,.50304684,2.1885844,-.83097918
-.96571056,.97460453,2.0913473,-1.3569579
-1.4592393,1.1179620,1.9219039,-1.2580052
-2.1027672,.88647218,2.0663224,-1.5108978
-2.7849827,.85726298,2.2775595,-.74290470
-1.8664015,1.2212454,1.8579627,-1.0858113
-4.6303830,.81427182,1.9945674,-1.3914678
-1.4270718,.91398046,2.1351782,-.97962938
-1.7736190,.85265113,2.1710213,-1.4468256
-.97067169,1.0591163,2.0589456,-1.3238261
-6.1266717,.28253721,2.5176228,-.72825189E-01
-4.4416420,.65821790,2.0199597,-.50271974
-4.2516982,.66299862,2.1762723,-.34811219
-3.4072568,1.2243931,2.1092814,-1.2006862
-4.0461900,1.5931413,1.6669994,-.62326002
-2.3945013,.90380926,2.2471098,-.86152167
-3.7460658,1.2657854,1.9754014,-1.5906047
-3.4896356,1.2009568,1.9833202,-.45086654
-1.6165724,1.2494880,1.9385116,-1.0531343
-3.0123986,1.1406240,2.0149774,-.54293454
-3.5259310,1.1067769,1.8299719,-.55093258
-3.4653057,1.4740511,1.7347568,-1.0923626
-2.4527537,1.0469473,2.1427665,-1.4609476
-2.3964020,.68568700,2.1703183,-1.0680099
-1.6147851,.86488149,2.2090202,-1.0997563
-2.9573960,1.0929994,2.1919410,-.78451101
-1.7414936,1.2281169,1.9656760,-1.3680857
-1.6196280,.94166820,2.0967950,-1.5591395
-1.6196280,.94166820,2.0967950,-1.5591395
-3.6815086,.86352504,1.9068854,-.85998712
-4.7160609,.47529469,2.5422169,-.58506583
-5.4516259,.38723606,2.5046773,-1.0151084
-7.3169583,.58498726,2.1717437,-1.5009397
-2.0297939,.85035185,2.0955234,-.82567344
-1.9912158,1.2006237,1.8698284,-.91881951
-1.2346958,.93867590,2.0678426,-1.0459697
-2.7957215,1.1986414,2.0000531,-.61391959
-2.2802068,.80707709,2.1813795,-.75958170
-2.3875117,.89479384,2.2525257,-1.1998419
-1.4158052,.83525786,2.1667772,-1.0949703
-9.4234289,.58225635,1.8805663,-.91447095
-1.2514416,.93469535,2.1220267,-1.0397712
-2.9788366,1.4310651,1.8911352,-1.0940211
-1.9424115,1.0086518,1.9368421,-.98784008
-2.4233318,.97888040,2.0700165,-1.7043364
-1.2828957,1.1065241,1.9624848,-1.0504789
-4.6155720,1.5083631,2.0084535,-.68678668
-1.9778393,.97330467,2.1456639,-1.5164449
-2.1691873,.72160398,2.1691971,-.94039081
-4.4415099,1.0426976,1.8780804,-.30026342
-1.6567514,.94357904,2.0143891,-.96138319
-1.6385511,1.2139313,1.9373520,-.96293026
-5.3608357,1.6604527,1.7761551,-.21446049
-6.8192265,-.40431081E-01,2.4735532,-.36174818
-9.0519627,-.59081873E-01,2.8611485,.46004948
-1.1142457,1.1410442,1.9826091,-1.1463383
-2.8270253,1.2672496,2.0494266,-.76760736
-3.2509474,1.1344936,2.1111682,-1.4791373
-3.0273558,1.0010591,1.8817568,-1.1563568
-2.7072523,.72966799,2.1911169,-1.4151046
-.88034697,1.0501154,2.0394122,-1.2344905
