ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.72927380E-01,.0000000,9,4,-4.4675514,1.5016915,1.5995888,-.84068583
1,0,.73921027E-01,.0000000,9,1,-4.2406319,1.2274598,1.6857579,-.59423355
1,0,.74832426E-01,.0000000,9,2,-4.1042319,1.2813100,2.1538124,-.72679479
1,0,.75372008E-01,.38952382E-02,9,4,-4.3253774,.78131519,1.9164517,-.68140424
1,0,.76097739E-01,.0000000,9,10,-2.5801089,1.2381570,1.9100371,-1.5329554
1,0,.76117933E-01,.0000000,9,8,-3.6760272,1.5460187,1.7054865,-.93751163
1,0,.76224749E-01,.92493214E-02,9,7,-4.6855345,1.4475248,1.5853993,-.51276060
1,0,.76181890E-01,.0000000,9,1,-8.0418033,1.2837941,1.3186852,-.53090956E-01
1,0,.76901992E-01,.0000000,9,4,-4.6683518,1.3274153,1.6797439,-.34690978
1,0,.76932803E-01,.62035667E-02,9,31,-3.4225689,1.2381069,2.0000809,-.48830263
1,0,.77166412E-01,.0000000,9,10,-2.6261897,1.1945726,2.0911273,-1.2336495
1,0,.76949747E-01,.0000000,9,10,-3.9783042,.59283040,2.2635062,-.43547350
1,0,.76886242E-01,.0000000,9,3,-6.2123435,1.0063389,2.4828370,-.39446615
1,0,.77711830E-01,.0000000,9,2,-3.2292863,.66112261,2.1279650,-.69671776
1,0,.77764244E-01,.15340029E-01,9,22,-3.5117176,1.4461677,1.9569474,-.75419380
1,0,.78752337E-01,.0000000,7,9,-3.9874891,1.2012479,1.7831744,-.43797278
1,0,.79398814E-01,.0000000,7,4,-3.9021460,1.5854133,1.6892986,-.65881393
1,0,.79817564E-01,.0000000,7,4,-4.1725288,1.5554391,1.6240213,-.82399637
1,0,.79688262E-01,.0000000,7,3,-6.5198569,1.6555879,1.3895577,-.12510280
1,0,.80415216E-01,.13939377E-01,7,5,-6.5600122,1.3111335,1.4748976,-.16732261
1,0,.81153521E-01,.0000000,7,4,-2.0512602,.86891015,2.0566842,-.84640806
1,0,.79430108E-01,.0000000,7,52,-2.1365372,1.3122919,1.8361943,-.99138245
1,0,.79960941E-01,.0000000,7,2,-2.4126846,1.0662336,2.0626421,-.67365592
1,0,.79400892E-01,.19617795E-01,7,26,-1.9819187,.89994415,2.0315472,-.86941736
1,0,.79375739E-01,.0000000,7,4,-3.2254105,1.0298761,1.8908704,-.59283499
1,0,.79233261E-01,.0000000,7,3,-6.3434805,1.1669035,1.7299819,.40607490E-01
1,0,.79934513E-01,.74978922E-02,7,20,-6.0287759,1.8854172,1.7661677,-.45588270
