SampleLogFunc,intercept,slope,logSigma
-3.2061782,1.4395442,1.9224823,-1.0195818
-1.7104554,1.1339438,1.8953986,-1.2271812
-3.6008982,.57592834,2.4150270,-.72039606
-4.0704996,1.3584388,1.7176491,-.45292252
-1.1513923,1.0821286,2.0601655,-1.1100697
-2.7876853,1.4403001,1.8424872,-.88030808
-1.7433844,1.0667458,2.0675942,-.85727728
-3.1176510,.73934836,2.2573102,-1.4468011
-3.6146967,.54293108,2.2644961,-.60124637
-1.9364494,1.2230528,1.8508341,-1.1138693
-2.0555462,.97497623,1.9443892,-1.0173241
-3.7413322,.74566594,2.4007796,-.67163974
-3.7795315,.79451515,2.1629944,-.39798341
-.93049253,1.0427280,2.0613508,-1.2027864
-2.6497923,.96236716,2.1968775,-.69266720
-4.6454821,1.1296395,2.1743152,-.27852051
-2.0740880,1.0433340,2.0290143,-.74801482
-6.1812244,.46426375,2.5498244,-.45971474E-01
-7.3910723,-.16519185,2.6434349,-.67337494E-02
-3.2881659,1.2954438,1.8669005,-.52924173
-2.5525706,.67156492,2.2678885,-1.2031784
-1.9291308,.81218776,2.2432064,-1.1997689
-2.2953371,.68255684,2.1955470,-1.0082365
-1.7757308,1.2090017,1.8813802,-1.2804575
-1.0379916,1.0759040,2.0098741,-1.1140890
-1.0379916,1.0759040,2.0098741,-1.1140890
-3.8986521,1.1578305,2.1989720,-1.0565346
-1.5244294,.80792585,2.1645703,-1.2568750
-1.5244294,.80792585,2.1645703,-1.2568750
-2.6630649,1.1007229,1.9872713,-1.7055317
-3.0950527,.95213088,2.2113842,-.58506877
-2.3679878,1.0841265,2.0444301,-.68324719
-3.7525913,1.0544452,1.8078620,-.60768724
-2.9148412,1.4546661,1.8472055,-1.0242746
-1.8565376,1.2553992,1.8940598,-1.3242651
-1.4314788,1.0473351,1.9493686,-1.1830952
-1.4432910,1.0067639,2.0327567,-.93696259
-1.0406448,.91511821,2.1041294,-1.2953686
-2.3734817,1.0390919,1.8865097,-.99473077
-2.5430702,1.3257885,1.9749583,-1.1685622
-2.0475572,1.0225623,2.0230099,-1.6459748
-2.9934231,1.2159176,1.7928186,-1.1859178
-4.1745489,1.5734777,1.8129120,-.49883000
-2.0688427,1.2588036,1.8425809,-.96816311
-3.3061782,.78040856,2.3140256,-.60032940
-1.1037855,1.0537288,2.0861471,-1.2690036
-2.8070536,1.0146422,1.9979197,-1.6873332
-1.3847904,1.2154219,1.9581410,-1.1588883
-1.3847904,1.2154219,1.9581410,-1.1588883
-10.406605,.91962467,1.4249679,.67735346
