ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
1,0,.62898590E-01,.0000000,1,1,-1924.2544,.83759143E-02,.17427436E-02,-.15824109E-02,-.74582690E-02,.71347545,1.4960329,-.74642104E-03
1,0,.64356159E-01,.0000000,1,1,-1924.2601,.11149563E-01,-.46652916E-02,.23430438E-02,-.48539418E-02,.72036026,1.4963688,-.68854623E-03
1,0,.66930668E-01,.0000000,1,3,-1924.3124,.52248860E-02,.63738231E-02,-.55413260E-02,-.13090794E-01,.70560953,1.4969640,-.31678771E-03
1,0,.69245899E-01,.25826462,1,3,-1924.4885,.70400725E-02,-.21303174E-02,.93599858E-04,-.35060077E-02,.71235661,1.4965285,-.14314146E-02
1,0,.70686694E-01,.0000000,1,1,-1924.4214,.50062647E-02,.73515375E-03,-.22876837E-02,-.25759660E-02,.70815780,1.4961796,-.14676658E-02
1,0,.71512195E-01,.0000000,1,3,-1924.7120,.96503711E-02,-.27827584E-02,.12729313E-02,-.35127569E-03,.71439866,1.4941165,-.19868142E-02
1,0,.73721952E-01,.0000000,1,2,-1924.8013,.81922537E-02,.16593398E-02,-.55765856E-03,-.37325513E-02,.71069382,1.4948322,-.19117187E-02
1,0,.74293528E-01,.0000000,1,1,-1925.6078,.84399454E-02,-.50641755E-02,.29702335E-02,.35688603E-02,.72077000,1.4953088,-.34378511E-02
1,0,.76001023E-01,.0000000,1,2,-1925.7051,.39681028E-02,-.29033244E-02,.15424754E-02,.62165374E-02,.71844668,1.4958955,-.38741623E-02
1,0,.76918940E-01,.0000000,1,1,-1926.0948,.20012180E-02,-.57262034E-02,.34069533E-02,.14488138E-01,.71956146,1.4949966,-.47949025E-02
1,0,.78326075E-01,.0000000,1,1,-1925.6021,.27348811E-02,-.47609304E-02,.26882545E-02,.17033735E-01,.71522695,1.4935608,-.41520046E-02
1,0,.79728928E-01,.0000000,1,1,-1925.4835,.90529134E-03,.23902337E-02,-.22316637E-02,.92755337E-02,.70862977,1.4942968,-.36550762E-02
1,0,.80674125E-01,.0000000,1,1,-1925.8378,.25575541E-02,-.27599760E-02,.14310580E-02,.12082917E-01,.71441862,1.4945190,-.43704454E-02
1,0,.81865344E-01,.0000000,1,1,-1925.9820,.17939612E-02,-.20196471E-03,-.63248443E-03,.10274572E-01,.71415499,1.4938134,-.45189986E-02
1,0,.84123113E-01,.0000000,1,2,-1926.0525,.20457159E-02,-.15721126E-02,.16437621E-03,.12529920E-01,.71445771,1.4935937,-.47060107E-02
1,0,.84958560E-01,.0000000,1,1,-1926.5032,.38115042E-02,-.11136879E-01,.63327619E-02,.24042465E-01,.72368687,1.4930647,-.54900059E-02
1,0,.86338713E-01,.0000000,1,1,-1926.4235,.51921951E-02,-.11286384E-01,.80433738E-02,.23432934E-01,.72445930,1.4928908,-.53247442E-02
1,0,.87319192E-01,.0000000,1,1,-1926.7282,.25566415E-02,-.12269505E-01,.85216845E-02,.28635274E-01,.72434976,1.4931268,-.57921754E-02
1,0,.88691645E-01,.0000000,1,1,-1926.4779,.12188754E-02,-.11302764E-01,.69365435E-02,.29049848E-01,.72035869,1.4932753,-.54659217E-02
1,0,.89573781E-01,.0000000,1,1,-1926.8692,.72836537E-02,-.20218606E-01,.12942373E-01,.35319527E-01,.73240071,1.4926200,-.55745624E-02
1,0,.90938738E-01,.0000000,1,1,-1926.6788,.72702227E-02,-.17039248E-01,.10580385E-01,.30026167E-01,.73085424,1.4926852,-.54623104E-02
1,0,.92299608E-01,.0000000,1,1,-1926.6562,.69111904E-02,-.11230582E-01,.64791604E-02,.22731019E-01,.72654739,1.4927216,-.56178534E-02
1,0,.93656410E-01,.0000000,1,1,-1926.2083,.41353765E-02,-.67743060E-02,.26483232E-02,.18563357E-01,.71968081,1.4941586,-.50712478E-02
1,0,.95009162E-01,.0000000,1,1,-1925.6221,.57347539E-02,-.75517497E-02,.22977481E-02,.19470008E-01,.71688453,1.4934149,-.42366987E-02
1,0,.96254513E-01,.0000000,1,1,-1925.6940,.21953383E-02,-.12235399E-02,-.89960451E-03,.16960118E-01,.71027766,1.4938755,-.42183631E-02
1,0,.97599372E-01,.31993557,1,1,-1925.3555,.50507998E-02,-.31021485E-02,.13773628E-02,.15671375E-01,.71382772,1.4935960,-.37587947E-02
1,0,.10006593,.0000000,1,2,-1925.1382,.64779122E-02,-.20643543E-02,.12043264E-02,.11373199E-01,.71202940,1.4937640,-.33083323E-02
1,0,.10074085,.0000000,1,1,-1925.7258,.99102004E-02,-.69272213E-02,.47372921E-02,.12791832E-01,.72321892,1.4930810,-.40654151E-02
1,0,.10198260,.0000000,1,1,-1925.7875,.14125377E-01,-.96889886E-02,.68847922E-02,.16282465E-01,.72692472,1.4910669,-.40971802E-02
1,0,.10409696,.0000000,1,2,-1925.5660,.13256122E-01,-.92838040E-02,.59886167E-02,.12068923E-01,.72747704,1.4925165,-.35676573E-02
1,0,.10557876,.0000000,1,3,-1925.4800,.14619147E-01,-.16529299E-01,.10821706E-01,.16186971E-01,.73378835,1.4934757,-.30636607E-02
1,0,.10689023,.0000000,1,1,-1925.1467,.97450912E-02,-.14951322E-01,.10246240E-01,.16882076E-01,.72810549,1.4950204,-.29929923E-02
1,0,.10819786,.0000000,1,1,-1924.7272,.79678767E-02,-.11633834E-01,.79939392E-02,.17790792E-01,.72327050,1.4952256,-.26910969E-02
1,0,.10950166,.0000000,1,1,-1923.4287,.62548272E-02,-.78609250E-02,.59249595E-02,.11971965E-01,.71482921,1.4975877,-.72122546E-03
1,0,.11080166,.0000000,1,1,-1923.3653,.74247673E-02,-.99651860E-02,.83059567E-02,.11805195E-01,.71382178,1.4977555,-.53967941E-03
1,0,.11155520,.0000000,1,1,-1923.8310,.73359899E-02,-.16194262E-01,.11333888E-01,.14832431E-01,.71917284,1.4989403,-.10983613E-02
1,0,.11284842,.0000000,1,1,-1923.7867,.74527995E-02,-.14328140E-01,.10390229E-01,.83441981E-02,.71555723,1.5001738,-.76883791E-03
1,0,.11372285,.0000000,1,1,-1924.1229,.62729261E-02,-.11782800E-01,.95175132E-02,.97226132E-02,.71442669,1.4999614,-.14486654E-02
1,0,.11419184,.0000000,1,1,-1924.9511,.71771884E-02,-.17103836E-01,.12475948E-01,.12551293E-01,.72199885,1.5008524,-.24604049E-02
1,0,.11547562,.0000000,1,1,-1924.8392,.82721459E-02,-.17440120E-01,.12209877E-01,.12479966E-01,.72191430,1.5003873,-.23011179E-02
1,0,.11663484,.0000000,1,1,-1924.9264,.10843890E-01,-.13762915E-01,.11284085E-01,.89896143E-02,.72182175,1.4985418,-.23658099E-02
1,0,.11746967,.0000000,1,1,-1925.2912,.78655629E-02,-.92351937E-02,.83607307E-02,.11923726E-01,.71890144,1.4971747,-.33611020E-02
1,0,.11851464,.0000000,1,1,-1925.4637,.68663413E-02,-.57307781E-02,.57446965E-02,.92756952E-02,.71535789,1.4962329,-.36209813E-02
1,0,.11933083,.0000000,1,1,-1925.8421,.81758797E-02,-.25539841E-02,.29181203E-02,.54498099E-02,.71824896,1.4954151,-.40051649E-02
1,0,.12059798,.0000000,1,1,-1925.8021,.70472735E-02,.19100406E-02,.85036800E-03,.38108193E-02,.71269518,1.4945810,-.39177797E-02
1,0,.12248459,.0000000,1,2,-1925.0350,.53209938E-02,.53342880E-02,-.14042763E-02,-.21742365E-03,.70458068,1.4955632,-.24352638E-02
1,0,.12354666,.0000000,1,1,-1925.1814,.59300213E-02,-.88009627E-02,.76143668E-02,.12426775E-01,.71675388,1.4970129,-.32676255E-02
1,0,.12565351,.15809900,1,2,-1924.7968,.10250173E-01,-.12613398E-01,.95896484E-02,.91978103E-02,.72082967,1.4975175,-.23186387E-02
1,0,.12657178,.0000000,1,1,-1925.0590,.16362453E-01,-.18971914E-01,.15358472E-01,.92576035E-02,.72788213,1.4973702,-.19581937E-02
1,0,.12765809,.0000000,1,1,-1925.1765,.18251743E-01,-.20294768E-01,.16279456E-01,.95227992E-02,.73008865,1.4964890,-.19209694E-02
1,0,.12889898,.0000000,1,1,-1924.4110,.16161618E-01,-.16952395E-01,.13231284E-01,.33352723E-02,.72368032,1.4985925,-.82308143E-03
1,0,.12950629,.0000000,1,1,-1924.9971,.17012399E-01,-.22082273E-01,.16160586E-01,.87395199E-02,.73060988,1.4987408,-.14390173E-02
1,0,.13066959,.0000000,1,1,-1925.0488,.12627116E-01,-.22537298E-01,.16664667E-01,.15220337E-01,.72665987,1.4994208,-.22294974E-02
1,0,.13267893,.0000000,1,2,-1924.7724,.12141479E-01,-.24317810E-01,.17110229E-01,.16953475E-01,.72599167,1.4990748,-.18678331E-02
1,0,.13345144,.0000000,1,1,-1925.1586,.10316367E-01,-.22449162E-01,.16417130E-01,.19409698E-01,.72571377,1.4985045,-.27080402E-02
1,0,.13521721,.0000000,1,2,-1923.9620,.40296871E-02,-.91957467E-02,.80200213E-02,.11120681E-01,.70515471,1.4993866,-.12814900E-02
1,0,.13643350,.0000000,1,1,-1923.5193,.10125787E-01,-.18249960E-01,.13685289E-01,.12801479E-01,.71457551,1.5000086,-.44802416E-03
1,0,.13711036,.0000000,1,6,-1923.4212,.95022083E-02,-.16036568E-01,.13253998E-01,.12739735E-01,.71126238,1.4994481,-.39005165E-03
1,0,.13918996,.0000000,1,5,-1923.2967,.54955617E-02,-.73275116E-02,.82208915E-02,.95804535E-02,.70424571,1.4991380,-.21172255E-03
1,0,.14030261,.0000000,1,1,-1923.3547,.83831511E-02,-.65303736E-02,.78484780E-02,.96181770E-02,.70512114,1.4970324,-.39362859E-03
1,0,.14147906,.0000000,1,3,-1923.4723,.74103326E-02,-.10728931E-01,.11302661E-01,.11951070E-01,.70840205,1.4991079,-.53573998E-03
1,0,.14291862,.18028317,1,3,-1923.2667,.69323512E-02,-.62946537E-02,.77223046E-02,.82646157E-02,.70275124,1.4980806,-.12407850E-03
1,0,.14395485,.0000000,1,1,-1923.3728,.58177235E-02,-.80262316E-02,.86457691E-02,.85151655E-02,.70487416,1.4992583,-.27437700E-03
1,0,.14507944,.0000000,1,1,-1923.4073,.70214060E-02,-.96224113E-02,.94765161E-02,.12571246E-01,.70821482,1.4988622,-.55115024E-03
1,0,.14679970,.0000000,1,3,-1923.1670,.57414969E-02,-.74967860E-02,.83006891E-02,.90432820E-02,.70267899,1.5005889,.44650983E-04
1,0,.14759826,.0000000,1,4,-1923.5095,.48125517E-02,-.94694222E-02,.10089456E-01,.10798264E-01,.70665909,1.5009889,-.51715693E-03
1,0,.14818408,.0000000,1,2,-1923.8260,.15765991E-02,-.64947830E-02,.93863797E-02,.98665715E-02,.70048037,1.5020468,-.72625493E-03
1,0,.14933362,.0000000,1,1,-1923.5014,.52721789E-02,-.94520155E-02,.10427367E-01,.84824954E-02,.70461722,1.5019569,-.33819147E-03
1,0,.15151379,.0000000,1,6,-1923.7939,.51702961E-03,-.92636005E-03,.50498935E-02,.53963115E-02,.69553602,1.5019746,-.39842617E-03
1,0,.15165365,.0000000,1,2,-1924.6909,.23973397E-03,-.10931489E-01,.10124007E-01,.14678579E-01,.70585712,1.5027888,-.23160543E-02
1,0,.15316279,.0000000,1,2,-1925.0277,.42409072E-02,-.14983677E-01,.14142877E-01,.15409111E-01,.71315934,1.5022461,-.27637125E-02
1,0,.15531349,.0000000,1,4,-1924.9969,-.22879341E-03,-.11658523E-01,.11647044E-01,.16430744E-01,.70742173,1.5028119,-.27649751E-02
1,0,.15643080,.16827764,1,1,-1924.8509,-.38761905E-02,-.19999311E-02,.36597652E-02,.59837943E-02,.69679597,1.5030896,-.20494001E-02
