NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,505,.50154043,.50154043,.45000076E-01,.45000076E-01,.84609054
2000,990,.49748458,.49342872,.19999981E-01,.65000057E-01,.59156618
3000,1502,.50260640,.51285004,.18999815E-01,.83999872E-01,.47525360
4000,2023,.50323453,.50511892,.26000023E-01,.10999990,.43374650
5000,2530,.50402532,.50718849,.44000149E-01,.15400004,.45469578
6000,3058,.50570360,.51409501,.21999836E-01,.17599988,.39953930
7000,3588,.50929904,.53087164,.37000179E-01,.21300006,.38064559
8000,4116,.50995442,.51454210,.27999878E-01,.24099994,.34451983
9000,4630,.50995185,.50993130,.28000116E-01,.26900005,.31199358
10000,5140,.50953379,.50577122,.23000002E-01,.29200006,.27609344
11000,5669,.50998527,.51450008,.27999878E-01,.31999993,.24447340
12000,6188,.51146207,.52770684,.21000147E-01,.34100008,.21006663
13000,6722,.51383656,.54233041,.24999857E-01,.36599994,.17848078
14000,7249,.51430496,.52039421,.31000137E-01,.39700007,.15066177
15000,7771,.51502394,.52508961,.27999878E-01,.42499995,.12190515
16000,8299,.51512479,.51663754,.23000002E-01,.44799995,.91824066E-01
17000,8835,.51584236,.52732358,.25000095E-01,.47300005,.62370691E-01
18000,9349,.51546546,.50905814,.20999908E-01,.49399996,.34398756E-01
19000,9850,.51492795,.50525280,.25000095E-01,.51900005,.79035541E-02
19286,10000,.51490600,.51344765,.89998245E-02,.52799988,.0000000
