NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,582,.57877527,.57877527,.15199995,.15199995,1.1538415
2000,1111,.54555220,.51232913,.12199998,.27399993,.95912307
3000,1668,.54670897,.54902252,.10599995,.37999988,.75908848
4000,2196,.54004624,.52005805,.85000038E-01,.46499991,.59374306
5000,2694,.53583085,.51896929,.64000130E-01,.52900004,.45281147
6000,3221,.53173527,.51125735,.62000036E-01,.59100008,.32641700
7000,3741,.52956190,.51652169,.52999973E-01,.64400005,.21673244
8000,4244,.52644666,.50463995,.50999880E-01,.69499993,.12380300
9000,4771,.52524095,.51559531,.44000149E-01,.73900008,.35470765E-01
9471,5000,.52396472,.49957820,.13999939E-01,.75300002,.0000000
