NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,582,.57877527,.57877527,.13899994,.13899994,1.0551576
2000,1111,.54555220,.51232913,.94000101E-01,.23300004,.81560500
3000,1668,.54670897,.54902252,.15499997,.38800001,.77506957
4000,2196,.54004624,.52005805,.16700006,.55500007,.70866129
5000,2694,.53583085,.51896929,.13400006,.68900013,.58976774
6000,3221,.53173527,.51125735,.19700003,.88600016,.48934936
7000,3741,.52956190,.51652169,.14599991,1.0320001,.34731037
8000,4244,.52644666,.50463995,.16400003,1.1960001,.21304809
9000,4771,.52524095,.51559531,.15599990,1.3520000,.64893733E-01
9471,5000,.52396472,.49957820,.85000038E-01,1.4370000,.0000000
